Shrt_Desc,Class,Sugar_Tot_.g.,Iron_.mg.,Cholestrl_.mg.
KELLOGG'S CINNABON CRL,1.0,41.6,15.7,0.0
NUTTY CLUSTERS & ALMONDS,1.0,21.79,8.19,0.0
SHREDDED WHEAT/LIGHTLY FRSTD,1.0,22.3,3.46,0.0
FARINA/ENR/ASSORTED BRANDS/DRY,1.0,0.56,33.39,0.0
ICE CREAMS/CHOC/LT,3.0,24.71,0.69,28.0
Sweetener/ syrup/ agave,3.0,68.03,0.09,0.0
CHOCOLATE/DK/45- 59% CACAO SOL,3.0,47.9,8.02,8.0
RTE/QUAKER/KING VITAMAN,1.0,20.27,29.0,0.0
RTE/QUAKER/MOTHER'S CINN OAT CRUNCH,1.0,25.07,3.6,0.0
RTE/KELLOGG/SPL K/FRUIT & YOGURT,1.0,32.1,25.3,0.0
RTE/GENERAL MILLS CINN CHEX,1.0,26.1,27.0,0.0
RTE/QUAKER/CAP'N CRUNCH,1.0,44.32,19.42,0.0
RTE/GENERAL MILLS/MULTI-GRAIN CHEERIOS,1.0,21.0,28.1,0.0
SWT POTATO CHIPS/UNSALTED,2.0,8.82,2.12,0.0
ICE CREAMS/BREYERS/ALL NAT LT MINT CHOC CHIP,3.0,25.38,0.52,15.0
SUGARS/GRANULATED,3.0,99.8,0.05,0.0
KELLOGG'S KRAVE CHOC CRL,1.0,35.7,14.5,1.0
POTATO CHIPS/FAT FREE/SALTED,2.0,3.69,3.57,0.0
PRETZELS/HARD/PLN/SALTED,2.0,2.43,5.45,0.0
FRSTD MINI-WHEATS BITE SIZE STRAWB DEL,1.0,22.7,29.5,0.0
ICE CREAMS/NO SUGAR ADDED/FRENCH VANILLA,3.0,7.7,0.19,53.0
QUAKER/LOFAT 100% NAT GRANOLA W/ RAISINS,1.0,25.65,2.58,1.0
PUDDINGS/CHOC FLAVOR/LO CAL/INST/DRY MIX,3.0,0.7,3.11,0.0
QUAKER/INST OATMEAL/BANANA BREAD/DRY,1.0,30.47,9.95,0.0
BAKING CHOC/UNSWTND/LIQ,3.0,0.0,4.15,0.0
SYRUP/CANE,3.0,73.2,3.6,0.0
MARS SNACKFOOD US/MILKY WAY MIDNIGHT BAR,3.0,57.81,1.2,10.0
MARS SNACKFOOD US/TWIX CARAMEL COOKIE BARS,3.0,48.25,0.81,7.0
YOGURT/FRZ/CHOC/NON-FAT MILK/W/LO CAL SWTNR,3.0,12.61,0.04,4.0
GELATINS/DRY PDR/UNSWTND,3.0,0.0,1.11,0.0
DESSERTS/MOUSSE/CHOC/PREPARED-FROM-RECIPE,3.0,14.81,0.55,140.0
FIBER ONE BRAN CRL,1.0,0.19,15.0,0.0
PUDDINGS/TAPIOCA/DRY MIX,3.0,65.0,0.12,0.0
KASHI GO LN HOT CRL/CREAMY TRULY VANILLA/DRY,1.0,15.0,3.5,0.0
PLANTAIN CHIPS/SALTED,2.0,0.92,0.97,0.0
PUDDINGS/VANILLA/RTE,3.0,16.97,0.09,1.0
