phoenix2_2014_2: nonfeature: car id_1: nonfeature: leg id_7: current outing: final rank,rank_change_label,40: before pit: average prev. rate of change in rank,140: after pit: Time in pits before outing,166 :after pit:total_tire_age at pit
phoenix2_2014_4_1_3,4,0,14,0
phoenix2_2014_4_2_1,2,0.045455,6.6,62
phoenix2_2014_4_3_1,3,0.0080214,13.7,133
phoenix2_2014_4_4_1,3,0,6.1,82
phoenix2_2014_4_5_1,3,0,6.2,104
phoenix2_2014_24_1_9,3,0,14,0
phoenix2_2014_24_2_4,1,0,6.7,62
phoenix2_2014_24_3_4,1,-0.045455,6.4,54
phoenix2_2014_24_4_2,2,-0.090909,5.9,104
phoenix2_2014_20_1_4,2,0,14,0
phoenix2_2014_20_2_5,4,-0.05,5.7,62
phoenix2_2014_20_3_4,2,0.0027778,12.7,133
phoenix2_2014_20_4_7,4,-0.05,5.5,82
phoenix2_2014_20_5_4,3,0.0027778,6.1,104
phoenix2_2014_2_1_5,4,0,14,0
phoenix2_2014_2_2_6,4,0.086957,7.2,62
phoenix2_2014_2_3_5,4,0.07205,7.2,82
phoenix2_2014_2_4_3,4,0.057143,12.5,104
phoenix2_2014_11_1_1,3,0,14,0
phoenix2_2014_11_2_29,5,0,17.4,35
phoenix2_2014_11_3_27,4,0.014706,9.1,52
phoenix2_2014_11_4_10,2,0.029412,6,42
phoenix2_2014_22_1_2,2,0,14,0
phoenix2_2014_22_2_2,4,-0.05,5.8,62
phoenix2_2014_22_3_2,2,-0.010294,14.4,133
phoenix2_2014_22_4_22,5,0,23.9,43
phoenix2_2014_22_5_8,2,-0.022222,12.6,42
phoenix2_2014_41_1_6,2,0,14,0
phoenix2_2014_41_2_3,2,-0.05,6.6,62
phoenix2_2014_41_3_2,2,-0.052778,6.4,82
phoenix2_2014_41_4_7,3,-0.05,14,68
phoenix2_2014_88_1_13,4,0,14,0
phoenix2_2014_88_2_11,2,0.052632,7,62
phoenix2_2014_88_3_10,1,0.026316,6,54
phoenix2_2014_88_4_5,2,0,6.9,104
phoenix2_2014_16_1_28,4,0,14,0
phoenix2_2014_16_2_28,3,0.1,13.6,62
phoenix2_2014_16_3_15,1,0.034848,13.2,54
phoenix2_2014_16_4_23,5,0,21.3,16
phoenix2_2014_9_1_22,4,0,14,0
phoenix2_2014_9_2_22,3,0.095238,6.8,62
phoenix2_2014_9_3_20,2,0.090476,15.4,54
phoenix2_2014_9_4_11,1,0.086957,13.7,72
phoenix2_2014_31_1_24,4,0,14,0
phoenix2_2014_31_2_14,1,0.05,12.4,62
phoenix2_2014_31_3_8,2,-0.081061,12.9,82
phoenix2_2014_31_4_14,5,-0.1087,12.6,104
phoenix2_2014_78_1_12,2,0,14,0
phoenix2_2014_78_2_8,1,-0.052632,6.6,62
phoenix2_2014_78_3_3,1,-0.056619,6.2,82
phoenix2_2014_78_4_9,1,-0.060606,6.3,42
phoenix2_2014_42_1_7,2,0,14,0
phoenix2_2014_42_2_8,4,-0.05,6.9,62
phoenix2_2014_42_3_6,2,-0.025,6.8,82
phoenix2_2014_42_4_6,4,-0.022222,7.8,104
phoenix2_2014_1_1_15,2,0,14,0
phoenix2_2014_1_2_10,1,-0.14286,6.4,62
phoenix2_2014_1_3_21,5,-0.13203,29.6,43
phoenix2_2014_1_4_17,4,-0.13333,15.9,16
