Shrt_Desc,Class,Sugar_Tot_.g.,Iron_.mg.,Cholestrl_.mg.
KELLOGG'S CINNABON CRL,1.0,0.126619238477,0.158098468271,-0.0473571428571
NUTTY CLUSTERS & ALMONDS,1.0,-0.071877755511,-0.0062341356674,-0.0473571428571
SHREDDED WHEAT/LIGHTLY FRSTD,1.0,-0.0667675350701,-0.109735229759,-0.0473571428571
FARINA/ENR/ASSORTED BRANDS/DRY,1.0,-0.284603206413,0.545188183807,-0.0473571428571
ICE CREAMS/CHOC/LT,3.0,-0.042619238477,-0.170347921225,0.152642857143
Sweetener/ syrup/ agave,3.0,0.391448897796,-0.18347702407,-0.0473571428571
CHOCOLATE/DK/45- 59% CACAO SOL,3.0,0.189745490982,-0.00995404814004,0.00978571428571
RTE/QUAKER/KING VITAMAN,1.0,-0.0871082164329,0.449126914661,-0.0473571428571
RTE/QUAKER/MOTHER'S CINN OAT CRUNCH,1.0,-0.0390120240481,-0.106671772429,-0.0473571428571
RTE/KELLOGG/SPL K/FRUIT & YOGURT,1.0,0.0314288577154,0.368164113786,-0.0473571428571
RTE/GENERAL MILLS CINN CHEX,1.0,-0.0286913827655,0.405363238512,-0.0473571428571
RTE/QUAKER/CAP'N CRUNCH,1.0,0.153873747495,0.239498905908,-0.0473571428571
RTE/GENERAL MILLS/MULTI-GRAIN CHEERIOS,1.0,-0.0797935871743,0.429433260394,-0.0473571428571
SWT POTATO CHIPS/UNSALTED,2.0,-0.201837675351,-0.139056892779,-0.0473571428571
ICE CREAMS/BREYERS/ALL NAT LT MINT CHOC CHIP,3.0,-0.0359058116232,-0.174067833698,0.0597857142857
SUGARS/GRANULATED,3.0,0.709785571142,-0.184352297593,-0.0473571428571
KELLOGG'S KRAVE CHOC CRL,1.0,0.067501002004,0.131840262582,-0.0402142857143
POTATO CHIPS/FAT FREE/SALTED,2.0,-0.253240480962,-0.107328227571,-0.0473571428571
PRETZELS/HARD/PLN/SALTED,2.0,-0.265865731463,-0.0661903719912,-0.0473571428571
FRSTD MINI-WHEATS BITE SIZE STRAWB DEL,1.0,-0.0627595190381,0.460067833698,-0.0473571428571
ICE CREAMS/NO SUGAR ADDED/FRENCH VANILLA,3.0,-0.21306012024,-0.181288840263,0.331214285714
QUAKER/LOFAT 100% NAT GRANOLA W/ RAISINS,1.0,-0.0332004008016,-0.128991247265,-0.0402142857143
PUDDINGS/CHOC FLAVOR/LO CAL/INST/DRY MIX,3.0,-0.283200400802,-0.117393873085,-0.0473571428571
QUAKER/INST OATMEAL/BANANA BREAD/DRY,1.0,0.0150961923848,0.0322778993435,-0.0473571428571
BAKING CHOC/UNSWTND/LIQ,3.0,-0.290214428858,-0.094636761488,-0.0473571428571
SYRUP/CANE,3.0,0.44325250501,-0.106671772429,-0.0473571428571
MARS SNACKFOOD US/MILKY WAY MIDNIGHT BAR,3.0,0.289044088176,-0.159188183807,0.0240714285714
MARS SNACKFOOD US/TWIX CARAMEL COOKIE BARS,3.0,0.19325250501,-0.167722100656,0.00264285714286
YOGURT/FRZ/CHOC/NON-FAT MILK/W/LO CAL SWTNR,3.0,-0.163861723447,-0.184571115974,-0.0187857142857
GELATINS/DRY PDR/UNSWTND,3.0,-0.290214428858,-0.161157549234,-0.0473571428571
DESSERTS/MOUSSE/CHOC/PREPARED-FROM-RECIPE,3.0,-0.141817635271,-0.173411378556,0.952642857143
FIBER ONE BRAN CRL,1.0,-0.288310621242,0.142781181619,-0.0473571428571
PUDDINGS/TAPIOCA/DRY MIX,3.0,0.361088176353,-0.182820568928,-0.0473571428571
KASHI GO LN HOT CRL/CREAMY TRULY VANILLA/DRY,1.0,-0.139913827655,-0.108859956236,-0.0473571428571
PLANTAIN CHIPS/SALTED,2.0,-0.280995991984,-0.164221006565,-0.0473571428571
PUDDINGS/VANILLA/RTE,3.0,-0.120174348697,-0.18347702407,-0.0402142857143
CANDIES/WHITE CHOC,3.0,0.300967935872,-0.180194748359,0.102642857143
GRANOLA BAR/W/COCNT/CHOC COATD,2.0,0.0531723446894,-0.147153172867,-0.0473571428571
POST/ALPHA-BITS,1.0,-0.0797935871743,0.471008752735,-0.0473571428571
CANDIES/SEMISWEET CHOC,3.0,0.255877755511,-0.116956236324,-0.0473571428571
KASHI ORGANIC PROMISE/BERRY FRUITFUL,1.0,-0.143921843687,-0.119800875274,-0.0473571428571
TARO CHIPS,2.0,-0.251937875752,-0.159188183807,-0.0473571428571
QUAKER/QUAKER OATMEAL SQUARES,1.0,-0.123681362725,0.455691466083,-0.0473571428571
KELLOGG'S ALL-BRAN ORIGINAL,1.0,-0.133,0.199673960613,-0.0473571428571
POTATO CHIPS/MADE FROM DRIED POTATOES/PLN,2.0,-0.278791583166,-0.167503282276,-0.0473571428571
CLIF BAR/ mixed flavors,2.0,0.026619238477,-0.0405886214442,-0.0473571428571
CANDIES/DK CHOC COATD COFFEE BNS,3.0,0.135637274549,-0.126365426696,0.0455
RTE/MALT-O-MEAL/BLUEBERRY MINI SPOONERS,1.0,-0.10544488978,0.458973741794,-0.0473571428571
CANDIES/MARS SNACKFOOD US/SKITTLES TROPICAL BITE SIZE CAND,3.0,0.468903807615,-0.185446389497,-0.0473571428571
SYRUPS/CORN/DK,3.0,0.487240480962,-0.177350109409,-0.0473571428571
GENERAL MILLS/CHEERIOS/YOGURT BURST/STRAWBERRY,1.0,0.0103867735471,0.142781181619,-0.0473571428571
INST OATMEAL/APPL & CINN/RED SUGAR,1.0,-0.112058116232,0.0939846827133,-0.0473571428571
ASHI HEART TO HEART/INST OATMEAL/APPL CINN/DRY,1.0,-0.00965330661323,-0.0935426695842,-0.0473571428571
PRETZELS/HARD/CONFECTIONER'S COATING/CHOCOLATE-FLAVOR,2.0,0.0985631262525,-0.141682713348,-0.0473571428571
QUAKER/INST OATMEAL/FRUIT & CRM/RED SUGAR,1.0,-0.113260521042,0.0799803063457,-0.0473571428571
CANDIES/MARS SNACKFOOD US/DOVE DK CHOC,3.0,0.173412825651,-0.11586214442,0.00264285714286
ICE CREAMS/BREYERS/ALL NAT LT VANILLA,3.0,-0.0619579158317,-0.184133479212,0.0597857142857
KELLOGG'S FRSTD MINI-WHEATS TOUCH FRUIT MDL/RASP,1.0,-0.111857715431,0.460067833698,-0.0473571428571
CANDIES/REESE'S NUTRAGEOUS CANDY BAR,3.0,0.112791583166,-0.158531728665,-0.0259285714286
COCOA/DRY PDR/UNSWTND/HERSHEY'S EUROPEAN STYLE COCOA,3.0,-0.290214428858,0.602299781182,-0.0473571428571
PUDDINGS/BANANA/DRY MIX/REG/PREP W/ WHL MILK,3.0,-0.130094188377,-0.184571115974,0.0169285714286
CANDIES/CHOC COVERED/CARAMEL W/NUTS,3.0,0.124114228457,-0.14824726477,-0.0473571428571
MARMALADE/ORANGE,3.0,0.310987975952,-0.182164113786,-0.0473571428571
FORMULATED BAR/SLIM-FAST OPTIMA MEAL BAR/MILK CHOC PNUT,2.0,-0.0397134268537,-0.0764748358862,0.00264285714286
SHREDDED WHEAT/ORIGINAL BIG BISCUIT,1.0,-0.280795591182,-0.120894967177,-0.0473571428571
SYRUPS/MALT,3.0,0.424214428858,-0.164439824945,-0.0473571428571
MALT-O-MEAL/OAT BLENDERS W/ HONEY,1.0,-0.068871743487,0.814553610503,-0.0473571428571
