Shrt_Desc,Class,Sugar_Tot_.g.,Iron_.mg.,Cholestrl_.mg.
CEREALS/WHL WHEAT HOT NAT CRL/CKD W/ H2O/WO/ SALT,1.0,-0.289485220441,-0.11883875,-0.0297142857143
CANDIES/MR. GOODBAR CHOC BAR,3.0,0.182859468938,-0.106005416667,0.0417142857143
Snacks/ granola bar/ QUAKER/ DIPPS/ all flavors,2.0,0.0865668837675,-0.10983875,-0.0297142857143
CANDIES/ROLO CARAMELS IN MILK CHOC,3.0,0.350294338677,-0.122172083333,0.056
ICE CREAMS/BREYERS/NO SUGAR ADDED/BUTTER PECAN,3.0,-0.231168587174,-0.126005416667,0.0988571428571
RICE CAKES/BROWN RICE/PLN/UNSALTED,2.0,-0.281469188377,-0.10433875,-0.0297142857143
COCOA/DRY PDR/HI-FAT OR BRKFST/PLN,3.0,-0.274755761523,0.112494583333,-0.0297142857143
CEREALS RTE/KELLOGG'S FRSTD MINI-WHTS TOUCH FRT MDL MXD BER,1.0,-0.11193011022,0.362494583333,-0.0297142857143
CEREALS/CRM OF WHEAT/REG (10 MINUTE)/CKD W/ H2O/W/ SALT,1.0,-0.289986222445,-0.0626720833333,-0.0297142857143
CANDIES/MARS SNACKFOOD US/TWIX CHOC FUDGE COOKIE BARS,3.0,0.240775300601,-0.10733875,0.0131428571429
CEREALS RTE/NATURE'S PATH/ORGANIC FLAX PLUS FLAKES,1.0,-0.167541332665,-0.0310054166667,-0.0297142857143
CEREALS/QUAKER/CORN GRITS/INST/PLN/DRY,1.0,-0.275156563126,0.51666125,-0.0297142857143
CEREALS/QUAKER/INST OATMEAL EXPRESS CINN ROLL/DRY,1.0,0.0194326152305,-0.0180054166667,-0.0297142857143
FORM BAR/MARS SNACKFOOD US/COCOAVIA/CHOC BLUEBERRY,2.0,0.0443825150301,-0.09783875,-0.0154285714286
CEREALS RTE/AMARANTH FLAKES,1.0,-0.286078406814,-0.09983875,-0.0297142857143
SWEETENERS/TABLETOP/FRUCTOSE/DRY/PDR,3.0,0.638570891784,-0.127505416667,-0.0297142857143
CEREALS RTE/POST SELECTS BLUEBERRY MORNING,1.0,0.00229834669339,-0.0741720833333,-0.0297142857143
SWEETENERS/TABLETOP/FRUCTOSE/LIQ,3.0,0.471236222445,-0.12733875,-0.0297142857143
